2021-12-02 13:49:44.306  INFO Musso --- [           main] .b.t.a.w.s.WebMvcTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.springframework.samples.petclinic.owner.OwnerControllerTests], using SpringBootContextLoader
2021-12-02 13:49:54.307  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 2
2021-12-02 13:49:54.308  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.323  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.337  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:54.339  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 3
2021-12-02 13:49:54.340  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.357  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.379  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.397  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:54.399  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 4
2021-12-02 13:49:54.400  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.422  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.440  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.458  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.483  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:54.485  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 5
2021-12-02 13:49:54.488  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.511  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.536  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.553  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.570  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:54.571  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 5
2021-12-02 13:49:54.573  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.590  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.607  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.622  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.637  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:54.639  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 5
